Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
C21orf54	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
C21orf58	1574.06	527.156	1001.23	1251.85	575.864	310.822	580.181	503.165	588.804	528.167	281.146	504.706	510.829	659.222	380.613
C21orf59	674	293	490	712	189	208	448.00035	522	543.99998	236	185	373.9997	390	669	215
C21orf62	126.673069	26.5797000247697	59.563	73.4935	46.3336	58.4106	58.4075000153391	28.6241000256587	55.1363000104181	53.44350001926	52.3716000453165	53.90536	45.2566	46.8535	82.458900173959
C21orf67	181.0002	30	39	27	39	39	63	58	44	62	37	32	30.99995	33	23
C21orf7	68	20	5	13	36	12	11	20	7	20	27	14	7	13	24
C21orf88	88	13	26	40	13	31	18	17	19	26	18	16	13	16	40.99998
C21orf90	0	1	2	0	1	2	0	2	2	3	0	1	2	1	3
C21orf91	531.5793	137.055	157.452	204.022	155.518	168.881	246.9186	142.35	219.335	200.0042	105.367	171.0798	161.028	210.9998	165.499
C21orf91-OT1	12	0	8	8	2	5	7	3	4	3	1	7	5	2	1
C22orf15	44	4	21	1	0	0	1	0	0	0	1	4	1	6	5
C22orf23	24	4	1	10	3	2	6	3	8	17	3	6	3	14	20
C22orf24	0	0	0	4	0	1	3	3	0	1	3	5	5	4	3
C22orf26	6.36347	2.10462	8.16362	8.20679	5.33149	4	8.30503	6.18656	0	3	5.2521	6.3445	10	4.27985	4
C22orf28	2033	1102	1621	2770	699	535	1675	1461	2008	1116	474	1161	1281	1706	817
C22orf29	866.774	311.183	465.417	856.436	312.138	356.753	387.359	373.338	589.995	420.789	188.442	204.869	179.514	337.869	202.544
C22orf31	0	0	10	0	1	4	1	2	0	0	0	0	1	1	5
C22orf32	792	299	421	755	225	284	367	394	470	438	312	366	366	512	458
C22orf34	163	45	78	101	36	90	144	191	248	125	128	133	141	179	125
C22orf39	900.234	254.566	390.182	547.403	215.9923	248.987	363.81	378.703	526.257	315.609	255.592	372.192	313.492	377.3	337.017
C22orf42	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0
C22orf43	1	1	3	7	3	0	4	1	0	2	3	3	2	2	3
C22orf46	388	56	117	219	106	113	97	127	127	163	62	78	98	185	116
C2CD2	89.4744	7.04463	15.26984	55.8475	11.2405	50.4914	19.1019	33.7221	22.194	34.2417	45.01931	21.4115	17.1606	32.3439	45.5001
C2CD2L	253	86	235	255	55	46	148	167	196	127	62	125	116	202	75
C2CD3	221	55	107	244	77	51	82	69	131	66	30	86	76	106	99
C2CD4A	154.735	45.5135	68.2386	77.7339	46.7489	59.9706	52.9711	37.0384	63.8005	73.8198	53.1698	54.9517	43.1354	57.4586	87.4143
C2CD4B	0	0	1	0	1	0	0	1	1	0	0	2	0	1	0
C2CD4C	4	2	5	2	1	1	0	2	1	1	0	10	4	3	2
C2CD4D	0	0	2	0	2	2.18587	1.3327	0	0	5	0	1	0	0	1
C2CD5	438	73	102	201	69	94	111	75	112	211	112	78	102	81	139
C2orf15	64.0405	13.6361	18.3517	26.0567	20.2472	19.1793	19.8995	12.1784	13.6357	23.0804	20.9801	27.4749	14.935	32.2524	28.8108
C2orf16	3	2	0	6	2	4	3	3	3	7	2	5	2	5	0
C2orf27A	10.1991	2.67199	1.53452	24.022	6	7.79577	22	4.18343	12	10	7.42944	11	10.4088	6.89662	10.7335
C2orf27B	2.80093	2.32801	1.46548	1.97795	0	0	0	3.81657	0	0	6.57056	0	7.59117	8.10338	4.96472
C2orf40	1	0	1	0	0	0	1	1	1	0	3	0	1	0	0
C2orf42	246	57	53	78	54	86	63	83	109	90	100	37	60	81	136
C2orf43	169	71	52	126	61	71	96	89	94	76	48	40	51	54	76
C2orf44	79	60.000003	107	142	60.0000000250226	48	103	75	129	73.00003	27	69	48	119	50.000034639
C2orf47	312.17	50	99.6442	208.025	50.7354	46.4013	88.2607	110.848	187.751	90.8588	40	55.435	82	140.672	59.6504
C2orf48	85	35	58	61	29	36	52	52	37	27	22	66	46	82	32
C2orf49	130	37	69	80	40	40	59	68	61	43	39	34	54	73	79
C2orf50	0	0	0	0	0	4	0	0	0	1	1	3	0	0	0
C2orf53	1	1	0	1	5	0	1	0	0	2	3	1	0	0	2
C2orf54	32.89091	8.28433	7.48318	10	14.30602	16.2025	13	8	9.3263	17.416	15.68466	15.11398	7.5586	9.70088	14.83796
C2orf57	3	1	0	2	0	0	1	0	1	2	0	1	1	0	2
C2orf61	13	9	3	13	1	17	5	8	2	5.000001	7	8	7	11	10
C2orf62	1	1	1	0	7	0	3	4	4	7	3	3	4	0	5
C2orf66	0	0	0	0	1	3	3	1	0	1	2	1	0	0	1
C2orf68	1933.22	344.154	396.377	775.932	447.083	652.859	475.817	534.641	702.374	970.449	754.327	446.431	444.039	627.087	892.113
C2orf69	299	115	197	245	88	79	133	107	161	82	121	145	118	194	109
C2orf70	0	1	0	0	0	3	0	2	0	2	0	0	2	0	0
C2orf71	0	0	3	17	2	1	1	0	0	15	2	0	1	1	2
C2orf72	0	1	3	0	0	2	1	1	0	0	2	2	3	1	0
C2orf73	0	0	0	0	0	0	0	0	0	1	3	1	0	0	3
C2orf74	195	38	57	114	32	93.00004	110	122	129	101	75	58	45.00004	89	107
C2orf76	55	20	28	35	17	18	31	20	40	32	19	23	18	18	18
C2orf78	1	0	0	0	1	2	3	0	1	2	5	0	1	2	7
C2orf80	0	0	0	0	2	0	0	0	2	6	0	1	0	2	1
C2orf81	58.0542	9	2.00166	8	9	12	14.0542	29.0362	23.0265	66	34	22	13	31.1123	30
C2orf82	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0
C2orf83	47.6937	5.4054	21.3947	20.4629	11.08	15.751	11.5034	18.15311976	12.5553	15.041	17.4168	20.734596	11.1681	16.7671	24.4978
C2orf88	10	4	8	4	6	16	2	4	2	9	13	5	6	6	11
C2orf91	351.017	68.8913	94.5335	152.69	89.5779	118.692	85.8801	56.4608	84.656	133.013	108.687	85.3615	67.6641	81.9946	141.746
C3	45	11	22	1	12	49	48	33	49	55	9	42	23	65	20
C3AR1	205	8	43	5	33	72	32	22	86	46	153	59	59	63	124
C3orf14	126	68	93	153	24	42	81	79	110	56	15	69	86	173	52
C3orf17	637.7958	153.99950001886	152.668	246.0001	182.7584	185.7563	248	223.9999	289.9997	210.8022134	206.9997	199.0005	218.0001	293	263.7673
C3orf18	54.06528	33.3061	130.9311	81.0174	17	33.621590160489	91.1856186895	79	127.7363	69.9999	65.3573	65.9509	75.1415	136.000015674	95.532500230769
C3orf20	7	1	6	12	4	3	0	2	0	2	5	5	2	3	4
C3orf22	6	0	0	0	1	0	0	0	0	0	0	0	0	1	2
C3orf27	42.319	10.7864	13.7694	19.1136	10.89	15.8091	8.7963	13.2094	21.698	13.5355	11.0792	14.8435	13.1407	15.5184	31.9823
C3orf30	0	0	1	0	2	0	3	0	1	2	2	0	0	0	1
C3orf33	59.762	41.4611	57.1888	59.4415	29.0285	38.406	27.7488	28.2884	48.3066	50.0837	47.2564	28.8744	50.3695	42.3852	59.5042
C3orf35	4.93402	1	5	3.04583	1	7	10.9158	3	11	9	3	4.09423	3	2	9.19844
C3orf36	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0
C3orf37	606	392.9995	549.0002	699.9996	228.00033	204.00049	521.0002	642.0001	774.9999	329	192.9995	374.99977	373.0003	529.0004	327.9997
C3orf38	389	122	122.675	151.902	115	108	104	112	136	210.904	95	100	97	61	102
C3orf43	14	2	0	4	0	9	5	3	1	6	4	1	3	2	4
C3orf45	0	4.09309	2.79898	1.33041	1.43674	1.26398	7.89714	6.5019	2.65064	7.84305	1.32297	0	1.327	4.17888	2.75052
C3orf49	16	0	2	7	2	1	2	4	0	2	3	3	5	6	6
C3orf52	0	4	9.999997	5	1	0	8	8	12	5	3	12	5	3	2
C3orf55	0	0	0	2	1	0	0	0	1	5	1	1	0	3	0
C3orf58	262	99.99997	173.9999	263.99965	129.00005	187.9997	179.00008	155	321.00004	396.0002	75	146.99994	148.99966	271.00027	131.00006
C3orf62	435.963	102.898	120.783	225.325	94.8101	112.797	120.309	121.776	134.896	149.573	110.019	120.271	93.5246	170.98	159.147
C3orf65	0	0	1	1	0	4	0	0	5	0	0	1	0	1	0
C3orf67	20	3	14	16	5	1	5	6	8	7	4	4	2	2	4
C3orf70	145.398	43.3838	53.5461	88.0403	68.1463	71.8933	88.034	53.4852	65.1232	79.9225	76.6535	63.7645	63.9248	97.0752	98.1919
C3orf72	320.78	50.6791	77.0154	160.038	74.1751	111.365	75.4969	60.7321	82.5072	111.396	109.839	72.4691	64.0011	97.8855	139.879
C3orf79	7	0	0	0	0	0	0	0	0	0	1	0	0	0	3
C3orf80	0	0	1	2	0	1	3	1	0	0	0	2	0	1	4
C3P1	5	3	1	2	1	3	4	2	1	5	1	8	2	1	4
C4A	2.44654e-06	5.64459	6.88168	16.57826	16	24	0	0	12.9099	1.41205e-08	4.51748	8.38954	13	7.65174	18.88057
C4B	34.5	4.6777	5.55916	13.21086	0	0	10.5	9	10.545	25	3.74126	6.80523	0	6.17412	15.55968
C4B_2	34.5	4.6777	5.55916	13.21086	0	0	10.5	9	10.545	25	3.74126	6.80523	0	6.17412	15.55968
C4BPA	7	0	0	0	1	2	0	0	0	0	1	2	0	2	1
C4BPB	0	3.9999997	0	0	1.9999965	1.0000003	2.000002	0.9999999	0	0	0	0	0	0.9999997	3.999997
C4orf17	2	0	1	2	0	1	0	0	0	0	2	0	1	0	0
C4orf19	66.51590747483	11.44435	30.53615	59.5417	21.8711	12.29037	33.4302	39.1755	30.3184	37.5238	38.465	28.5702	32.629	49.3969	32.1666
C4orf21	138	80	105	147	51	67	71	79	94	59	33	99	107	99	52
C4orf22	9	2	2	2	2	3	1	0	1	4	1	3	2	2	2
C4orf26	47.7451	9.96906	19.6633	38.7042	16.7715	22.2184	30.22384	27.24118	35.99431	37.26325	32.2572	22.9672	24.635972	38.90107	46.1027
C4orf27	371	133	197	355	109	74	166.975	132.99	219.994	115.977	73	163	146	256	122
C4orf29	205.816	41.336	68.2066	116.376	44.5243	58.1525	72.1024	62.0947	77.9205	81.2421	70.0409	68.6156	67.1724	100.469	66.8077
C4orf3	1134.2959	328.589	475.501	842.14	302	352.8279	593.363	617.849	723.286	589.262	350.38	387.401	429.298	663.31	610.411
C4orf32	21	22	18	19	7	6	20	18	23	11	6	22	14	38	6
C4orf33	140	31.00004	18.00005	42	19	33	57	26	35	54	37.00002	58	28	55	47
C4orf36	0	0	1	1	1	0	0	0	0	1	0	0	0	0	2
C4orf40	133.055	29.6066	38.052	55.0906	38.0735	53.0034	45.1692	33.0502	46.1084	58.7054	53.4333	31.8783	34.794	49.9343	75.6654
C4orf45	0	1	0	0	1	0	0	0	0	0	2	0	2	0	1
C4orf46	144	126	143	193	49	72	140	104	166	86	27	90	119	149	30
C4orf47	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf48	552.9996	354.0004	631	781.00041	200	229.00025	425	605.0003	575.99969	326.9998	186	537.99981	617.9998	990.0001	321.00042
C4orf51	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
C4orf52	224	57	125	217	64	56	80	90	101	82	25	42	38	84	95
C4orf6	4	2	0	0	1	1	0	2	0	0	0	0	1	0	0
C5	26	3	6	25	9	19	9	6	2	5	10	8	6	5	9
C5AR1	22.456	6.25721	11.4784	18.3382	7.2209	11.2091	10.5559	6.44915	7.31286	12.757	14.4322	9.74389	7.5185	14.057	16.3745
C5AR2	22.1055	5.01502	7.25193	6.04971	10.0232	8.01921	7.06533	8.01473	7.13796	12.0277	14.0316	12.21304	5.32819	18.13754	16.3465
C5orf15	504	170	179	305	143	164	250	200	216	218	119	140	129	186	151
C5orf20	0	0	0	1	3	2	2	1	0	1	4	1	0	0	2
C5orf22	254	41	74	200	62	64	119	109	136	101	68.1796	75.3881	62.8636	114.985	84.361
C5orf24	420.223	150.077	195.451	415.474	130.496	127.333	249.56347	236.568	297.637	185.81449	165.665	180.39117	209.039	355.291	202.64855
C5orf27	57.2216	10.8204	22.5417	24.0255	23.3893	29.8376	19.8176	16.225	21.6881	29.1257	30.5996	14.0991	15.1837	11.7652	31.3448
C5orf28	66.5497	49.9539	47.1916	86.5293	24.5281	29.9105	42.613	38.0217	57.4567	43.9557	35.2588	46.6226	33.3729	64.1785	29.1715
C5orf30	194	69	71	176	26	28	95	62	114	29	29	65	42	58	15
C5orf34	57	15	7	47	15	15	28	14	16	40	11	10	15	20	14
C5orf38	0	0	5	0	0	2	1	1	2	1	0	0	0	0	1
C5orf4	20	8	17	10	3	7	5	9	9	11	4	10	3	16	16
C5orf42	242	40	77	124	80	71	63	47	87	74	101	47	73	87	120
C5orf45	51.3927	7.337275	10.73371	29.5242	27.8605	16.4714	20.5855	22.6464	5.11178	24.5066	21.8553	9.37469	8.19921	13.392	15.4847
C5orf46	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
C5orf47	1	0	0	0	0	3	0	0	0	0	0	0	0	1	1
C5orf48	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1
C5orf49	0	0	0	1	1	1	1	0	0	1	3	2	0	0	2
C5orf51	133	59	62	125	57	53	72	73	75	87	62	61	63	78	93
C5orf52	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0
C5orf54	40	0	8	12	12	20	9	9	3	8	8	6	18	3	2
C5orf55	236.372	71.7959	142.287	231.345	65.2182	94.2822	136.029	109.053	161.645	124.013	61.3357	99.5478	95.0716	143.135	124.348
C5orf56	237	33	47	85	30	73	60	52	117	106	117	69	86	99	198
C5orf58	1	0	4	4	1	3	6	1	0	6	3	0	1	5	2
C5orf60	94.7616	11.3161	27.5874	41.4895	24.3487	25.1153	28.6832	12.2148	26.7471	27.8648	36.9791	32.8228	16.9799	36.5295	49.9473
C5orf63	89.0373	23.00002	23.000036	40.01455	35.0169	25.0092	48.0429	31.00005	47.0339	47.01032	43.0486	39.012	38.00004	64.0047	92.0166
C5orf64	96.641	21.2037	54.6031	69.7767	28.4602	31.8266	40.4123	34.6798	50.446	30.8662	29.1019	45.1386	26.081	45.5433	50.9566
C6	2	2.00000286	2.000003817	0.999999739	1	0	0	0	1	2	2	0	1.000000284	0	1.999998102
C6orf1	953.9992	195.9998	419.9997	484.00036	166.9997	256.99993	306.9996	372.9997	478.9997	215.00034	275.9999	307.9997	271.9996	514.0002	396.9995
C6orf10	2	1	0	1	6	0	0	0	0	1	2	1	0	0	1
C6orf106	2246	654	970	1369	676	712	910	869	1057	871	825	1026	854	1336	1124
C6orf118	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1
C6orf120	133.319	79.708	78.5672	114.655	43.1303	39.6871	73.7438	70.1367	64.2796	83.6703	76.2129	62.8721	47.1764	89.658	55.9288
C6orf123	71.2923	11.7488	12.5358	36.4611	12.0673	29.1934	27.5955	19.1891	23.9372	24.6708	22.2308	18.9322	29.7183	31.0577	41.0307
C6orf132	77.4746	18.9735	27.5104	43.3104	20.0059	18.4111	25.5367	15.7926	20.9781	29.152	22.8724	20.1857	17.8812	37.8586	28.2413
C6orf136	219.999715141	61.00004	163	167.0005	43.00005	49.28462	97.0001	119.99997	154.9996	85	35.99995	68	81	113	71.00001
C6orf141	0	0	0	0	0	0	1	3	0	0	1	1	0	0	1
C6orf147	122.793	38.6365	94.411	90.9879	37.9556	60.2654	62.3358	58.4224	52.1069	60.7102	47.65	61.3142	67.349	64.4447	59.8849
C6orf15	0	0	0	0	1	2	3	0	0	5	0	0	1	1	0
C6orf163	6	1	0	9	0	3	2	2	7	16	4	4	0	4	4
C6orf164	15	2	3	1	6	5	1	0	7	0	6	3	1	4	8
C6orf165	1	0	1	0	1	1	1	0	0	0	3	0	1	1	1
C6orf170	104.427	44.5941	60.5764	90.3055	32.6396	62.3291	61.8333	50.8615	47.5364	63.9273	58.274	36.6487	21.252	73.136	92.8109
C6orf195	2	0	0	0	0	0	0	0	0	8	0	4	0	0	0
C6orf201	2	0	0	3	2	0	0	1	4	1	5	1	0	1	3
C6orf203	183.99964	70	93	134	53	78	81	112	102	89	47.99993525	65.00000195362	104.000007	118	64
C6orf211	251	59	50	79	67	56	123	60	103	111	40	73	102	86	73
C6orf222	8	0	1	0	2	3	0	0	1	3	1	0	0	0	0
C6orf223	1.00000006226	0	2.00000167816	3.00000103428	3.99999947077	1.00000031488	1	3.9999974447	0	0.9999995356	1.99999852094	4.99999549308	4.99999726157	3	1.99999612926
C6orf226	224	35	73	76	24	52	35	52	85	77	40	46	51	78	95
C6orf25	88.81209535	26.93878467	51.14736915	73.2199084	30.32869545	36.3423825683	48.29625495	28.69313129	37.01944235	41.9658020402731	37.10080961	45.48548551	39.8169002556941	41.29941073	51.3741753249
C6orf47	852	224	431	703	235	284	374	493	435	329	282	370	343	550	410
C6orf48	1275.95	369.0004	504	901	292	370	512	605	668	492	330.789	324	358	661	664
C6orf52	18.99998	13.00001	7	14.99996	15	10	12	14	16	6	2	8	8	6	2
C6orf57	43	14	27	49	9	14	23	13	32	10	11	14	9	13	8
C6orf58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf62	10455.4	2760.48	2884.52	4711.82	2776.08	3092.85	3232.47	2781.71	4065.91	4475.62	2987.36	3220.68	2915.99	4212.31	5047.98
C6orf7	59	17	19	32	12	36	24	11	18	30	25	18	12	17	20
C6orf70	448	46	101	208	87	90	80	121	140	163	97	67	94	104	130
C6orf89	1492.64	427.338	646.392	908.95	412.165	473.548	626.105	575.006	791.812	615.637	502.722	489.454	547.716	691.988	641.415
C6orf99	7	2.30455	1.1045	5.30201	2	2.43004	3	2.27044	0	6	3.49261	3.28933	0	3.55514	6.3061
C7	29.5969	13.2616	8.248	19.9155	10.5552	13.263	14.3205	7.1548	16.3844	19.2741	15.3736	8.36959	6.19471	27.6843	19.7715
C7orf10	2	0	1	2	0	0	1	1	0	2	1	3	0	1	2
C7orf13	302	35	121	171	41	29	29	47	47	23	37	40	25	68	41
C7orf25	239	70	63	86	40	37	94	54	62	43	45.0000000708103	58	58	87	64
C7orf26	179	103	116	232	51	79	119	91	159	109	94	112	100	179	98
C7orf29	98	19	45	135	48	51	44	82	108	69	42	44	33	106	57
C7orf31	30	4	19	0	6	0	4	11	3	4	3	5	10	4	27
C7orf33	0	0	1	1	1	1	0	0	0	0	0	1	0	3	0
C7orf34	1	0	0	0	1	0	0	0	0	3	0	0	1	1	0
C7orf41	172	6	12	13	52	35	8	17	6	76	33	3	5	5	73
C7orf43	352	130	124	382	112	143	111	102	157	153	118	142	120	126	186
C7orf45	0	0	2	0	0	0	0	0	0	0	4	0	0	1	1
C7orf49	665.5813	304.979038661	467.555868	742.327975	190.19330058888	234.23998	391.9614	380.273488209106	438.3919495494	195.64295	164.18234	322.9601681	265.9858	451.941400207302	220.2602
C7orf50	1298.99749005075	735.0004	894.0002	1791	300.999708	346.00020083921	619.9995	766.999600051567	903.9997	637.9996	280.99957325	672.0002	776.0001	1235.9951	493.0009
C7orf53	10	1.03235	3.02184	13	2.04236	6	2	2	2.03806	3	6.09402	6	0	3	4.04573
C7orf55	366.48127	122.45246	171.90095	355.18541	83.5494	106.60762	166.3735	210.21699	203.34873	148.31759	114.7813	117.42019	129.58319	227.55963	187.12257
C7orf55-LUC7L2	378.367	22.5732	87.4468	10.1986	97.5946	71.6014	25.2309	0.118345	10.904	8.87888e-05	50.7796	99.1623	63.6501	52.0437	104.187
C7orf57	8	7	9.00000104	25	3	4.0000021	10	1.00000016	7.00000222	9	2.00000421	3.00000041	4	10	4
C7orf60	74	18	12	6	35	28	25	17	31	31	40	18	26	27	78
C7orf61	28	1	9	5	3	3	2	10	6	6	11	3	8	2	7
C7orf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf63	5.000000554842	2.00000117812	1.0000000842415	4.000000119499	2.000000565584	4.000000570073	4.000000983161	0.99999957381	1.000000195973	7.00000214045	3.00000167856	1.000000115315	3.000000478991	2.000000154251	2.000000763865
C7orf65	19.268	6.07696	12.2176	9.32232	7.40228	4.10893	10.7174	10.4435	4.05487	7.39195	5.30879	10.8356	3.00025	6.43972	7.19681
C7orf66	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C7orf69	11	2	3	4	3	1	1	3	2	6	6.14372	3	4	7	5.07671
C7orf71	1	1	0	4	0	1	0	0	2.02521	4	0	0	0	2	3
C7orf72	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0
C7orf73	633.882	276.49	361.124	509.35	244.026	278.878	399.412	451.524	562.534	381.088	228.424	410.349	360.717	521.323	373.155
C7orf76	0	0	0	0	0	0.99999975341	0	0	0	0	1.0000003981	1.0000003474	0	0	0
C8A	5	0	0	0	1	1	2	1	0	2	3	1	0	2	3
C8B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C8G	12	2	1	10	1	3	4	4	3	1	10	8	2	4	4
C8orf12	0	0	1	0	0	0	2	0	1	0	2	2	0	1	0
C8orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf31	70.823	29.4658	24.4853	59.7581	17.1655	16.439	19.0929	30.1236	18.3437	18.3153	16.0422	10.9688	14.0749	17.5761	20.9904
C8orf33	627.44	360.138	603.799	895.029	185.432	193.222	508.925	477.498	647.486	264.902	156.92	382.563	442.575	598.941	205.092
C8orf34	9	1	2	7	5	3	1	2	0	0	3	3	0	1	1
C8orf37	93.7543	20.3214	31.3126	30.9762	8.82424	14.7067	21.1486	13.695	22.534	25.8995	21.6544	23.1705	14.5999	23.536	30.6891
C8orf4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
C8orf40	421.21	82.00002	151.0003	296.6063	79.54845	120.4168	184.99992	165.92873	215.1633	144.8557	181.40278	161.9581	195.40303	203.08807	258.5502
C8orf42	0	2	0	2	2	1	0	0	0	1	0	2	0	0	2
C8orf44	197.126	40.1627	47.9104	77.5673	50.6106	67.5773	48.3894	43.3791	51.4923	65.1524	68.5117	41.4814	28.3931	54.6473	80.1688
C8orf44-SGK3	50.6415	0	11.1121	44.0965	26.1088	30.9847	11.2129	0	0	26.8569	18.277	0	25.4876	44.6315	36.6972
C8orf46	5.27274	2.07029	2.08618	4.25218	2	2	2	4	5.25973	2	2.10998	2.04622	2.11578	2.02799	3.04171
C8orf47	2	1	1	0	0	3	0	4	0	0	1	1	1	1	1
C8orf48	0	0	0	1	0	3	1	0	1	1	0	2	0	0	0
C8orf56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf58	69	19.9999801121	21	15	13.0000269424	23	23.99996	14	27.99998	22	6	22.9999834692	13.0000168759	75	26
C8orf59	400	180.99438	209.96395	359.0001	122.9862	135.9637	238.9981	244.00036	251.98	177.9936	153.97851	201.96775	169.99976	304.98763	266.9547
C8orf69	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0
C8orf74	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
C8orf76	366.238	163.696	211.267	389.948	100.592	160.468	213.855	244.617	286.659	143.857	90.0168	140.222	156.936	221.333	180.509
C8orf82	38	16	26	38	24	26	46	46	37	10	26	31	38	49	66
C8orf86	95.1479	18.5119	45.0951	56.7156	36.1786	29.4309	39.7396	25.3701	31.946	26.118	29.0893	24.9314	24.9429	34.839	41.397
C8orf87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C9	11	1	0	2	0	3	0	0	1	3	1	1	0	2	6
C9orf106	0	0	2	0	0	5	0	3	3	0	0	0	0	0	1
C9orf114	858.78	824.503	1072.96	1648.55	344.335	334.982	974.145	1103.7	1258.94	500.412	280.948	749.263	888.628	1367.15	300.754
C9orf116	0	3	2	0	0	2	0	2	0	2	2	3	2	6	8
C9orf117	36	10	26.0259	34	18	3.01389	18	17	16	6	3	13	16	22	17
C9orf123	770	282	578	810	282	300	528	597	662	416	166	345	417	585	311
C9orf129	0	1.05584	0	0	1.11634	0	1.10204	0	4.40755	1.09979	0	1.10425	0	0	0
C9orf131	6	31	2	8	12	7	1	6	4	37	4	12	0	7	4
C9orf135	2	0	0	2	0	0	2	0	0	1	0	2	0	0	0
C9orf139	92.5612	8.34843	20.6853	70.6862	26.149	15.0804	12.0091	11.4429	18.794	22.3702	40.0244	19.9753	16.1593	32.1562	29.6499
C9orf142	5406	2139	3341	4185	1524	1481	2938	3729	3838	2206	1562	3358	3373	5002	2308
C9orf152	10.4066	1.47705	3.1487	3.64225	2.02705	1.02513	0	1.02615	2.05231	4.16286	1.03439	3.08946	0	5.15189	4.13601
C9orf153	7.1432092523	0	0.99999975682	0	0	1.0000000051	0	0	0	2	2.0412799323	0	0	0	2.0000002943
C9orf156	373	61	70	162	53	155	81	119	161	162	277	135	117	155	445
C9orf16	3993	1046	2428	2900	1292	1459	2098	2621	2820	2470	1437	1813	1969	3335	2408
C9orf163	2	0	2	4.04132	3	1	1	1	1	1.01678	4	4	7.1136	3	3.06197
C9orf169	58	7	22	33	3	4	5	5	13	14	6	6	5	6	12
C9orf170	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0
C9orf171	0	1	0	1	0	1	6	2	3	0	3	1	1	0	2
C9orf172	15	5	7	4	5	9	6	31	5	9	6	11	11	11	10
C9orf173	0	1.0000000240684	0	0	0	0	0	0	0	0	0	0	0	1	2
C9orf174	5.04476	0	7.93661	0	0	9.03906	0	0	0	6.90289	12.633	0	0	2.18534e-05	30.8218
C9orf24	6	1	0	3.999997	1	0	2	1	2	5	2	1	0	4.000004	1
C9orf3	237.8976	23.6006	68.5072	63.85064	58.73562	64.86661	67.1453	59.35941782	62.81134	72.5203	107.032900281727	51.64362	43.69305	72.79397	118.6987
C9orf37	669.015	189.361	296.617	499.069	144.722	195.942	237.575	297.849	302.921	263.002	157.839	235.63	185.233	324.86	247.669
C9orf40	41	30	25	29	15	27	47	28	35	19	12	43	33	48	13
C9orf41	40.4853	11.8746	41.6706	53.5598	14.5086	22.2362	36.2944	12.2124	30.4083	23.3991	9.77881	30.2684	15.8774	44.1087	31.3306
C9orf43	0	2	0	1	6	3	2	1	0	0	5	0	1	2	3
C9orf47	0	0	0	0	1.00000044024	2.00000387951	0	0	1.99999503401	0.99999965892	7.0000024146	3.00000484829	5.0000006128	0	3.99999769
C9orf50	0	1	2	1	2	0	1	0	1	5	1	3	0	1	0
C9orf53	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0
C9orf57	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
C9orf62	0	0	2	2	1	4	0	0	1	0	1	0	0	0	2
C9orf64	549.55	95.0561	108.283	284.617	98.5937	126.754	254.478	185.989	263.913	228.334	118.377	110.681	142.866	155.674	151.295
C9orf66	357.398	71.2914	129.389	195.067	103.569	77.6627	76.1842	73.5226	167.556	113.986	129.634	103.083	109.351	183.37	168.36
C9orf69	922	346	568.0001	678.00000793201	199.9998	193.9997319	417.00000309457	480.000126216	450	328.00000156993	175.9998	390	383	515.9997	262.0003
C9orf72	33	4	4	2	5	3	5	1	2	10	29.99997	10	8	9	25.00001
C9orf78	2118.57	865.727	1173.89	1713.17	442.964	581.58	1223.2	1290.65	1719.73	740.248	695.27	1135.23	1355.29	1647.16	1020.14
